Date,Open,High,Low,Close,Volume,NASDAQ,Change
30-04-2015,32.16,32.16,31.145,31.2875,332781600,4414.25,-0.8725
01-05-2015,31.525,32.532501,31.325001,32.237499,234050400,4479.060059,0.949999
04-05-2015,32.375,32.642502,32.064999,32.174999,203953200,4482.609863,-0.0625
05-05-2015,32.037498,32.112499,31.445,31.450001,197085600,4409.390137,-0.724998
06-05-2015,31.639999,31.6875,30.84,31.252501,288564000,4379.75,-0.1975
07-05-2015,31.192499,31.52,31.004999,31.315001,175763600,4401.549805,0.0625
08-05-2015,31.67,31.905001,31.5275,31.905001,222201600,4458.649902,0.59
11-05-2015,31.8475,31.889999,31.407499,31.58,168143200,4438.640137,-0.325001
12-05-2015,31.4,31.719999,31.205,31.467501,192640000,4420.649902,-0.112499
13-05-2015,31.5375,31.797501,31.467501,31.502501,138776800,4426.560059,0.035
14-05-2015,31.852501,32.237499,31.790001,32.237499,180814000,4495.040039,0.734998
15-05-2015,32.267502,32.372501,32.052502,32.192501,152832000,4494.290039,-0.044998
18-05-2015,32.095001,32.68,32.09,32.547501,203531600,4512.950195,0.355
19-05-2015,32.672501,32.720001,32.41,32.517502,178532800,4503.720215,-0.029999
20-05-2015,32.5,32.744999,32.334999,32.514999,145819600,4505.299805,-0.002503
21-05-2015,32.517502,32.907501,32.4575,32.8475,158921600,4529.470215,0.332501
22-05-2015,32.900002,33.2425,32.849998,33.134998,182384000,4527.160156,0.287498
26-05-2015,33.150002,33.227501,32.279999,32.404999,282790400,4472.959961,-0.729999
27-05-2015,32.584999,33.064999,32.512501,33.009998,183332800,4546.060059,0.604999
28-05-2015,32.965,32.987499,32.775002,32.945,122933200,4535.660156,-0.064998
29-05-2015,32.807499,32.862499,32.474998,32.57,203538000,4508.25,-0.375
01-06-2015,32.57,32.8475,32.512501,32.634998,128451200,4521.850098,0.064998
02-06-2015,32.465,32.665001,32.330002,32.490002,134670400,4508.890137,-0.144996
03-06-2015,32.665001,32.735001,32.474998,32.529999,123934000,4519.859863,0.039997
04-06-2015,32.395,32.645,32.227501,32.34,153800400,4487.029785,-0.189999
05-06-2015,32.375,32.422501,32.09,32.162498,142507200,4477.189941,-0.177502
08-06-2015,32.224998,32.302502,31.7075,31.950001,210699200,4431.509766,-0.212497
09-06-2015,31.674999,32.02,31.405001,31.855,224301600,4427.609863,-0.095001
10-06-2015,31.98,32.334999,31.9625,32.220001,156349200,4485.459961,0.365001
11-06-2015,32.294998,32.544998,32.119999,32.147499,141563600,4488.470215,-0.072502
12-06-2015,32.047501,32.0825,31.7775,31.7925,147544800,4453.790039,-0.354999
15-06-2015,31.525,31.809999,31.4275,31.73,175955600,4432.919922,-0.0625
16-06-2015,31.7575,31.9625,31.592501,31.9,125976400,4455.899902,0.17
17-06-2015,31.93,31.969999,31.684999,31.825001,131672400,4468.97998,-0.074999
18-06-2015,31.807501,32.077499,31.805,31.969999,141628800,4531.850098,0.144998
19-06-2015,31.9275,31.955,31.6,31.65,218867600,4513.419922,-0.319999
22-06-2015,31.872499,32.014999,31.77,31.9025,136157200,4544.040039,0.2525
23-06-2015,31.870001,31.9025,31.719999,31.7575,121075600,4548.740234,-0.145
24-06-2015,31.8025,32.450001,31.780001,32.0275,221123600,4524.600098,0.27
25-06-2015,32.215,32.299999,31.875,31.875,127752400,4514.009766,-0.1525
26-06-2015,31.9175,31.997499,31.627501,31.6875,176267200,4484.279785,-0.1875
29-06-2015,31.365,31.6175,31.120001,31.1325,196645600,4379.870117,-0.555
30-06-2015,31.3925,31.530001,31.215,31.3575,177482800,4396.759766,0.225
01-07-2015,31.725,31.735001,31.497499,31.65,120955200,4429.22998,0.2925
02-07-2015,31.6075,31.672501,31.442499,31.610001,108844000,4433.390137,-0.039999
06-07-2015,31.235001,31.557501,31.2125,31.5,112241600,4418.660156,-0.110001
