Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
08-10-2014,76.18,77.709999,75.099998,77.519997,32976000,4,-1.609993,4041.120117
09-10-2014,77.279999,77.760002,75.849998,75.910004,32487000,5,-3,3969.320068
10-10-2014,75.589996,76.5,72.760002,72.910004,52146000,6,0.079994,3870.860107
13-10-2014,73.230003,74.779999,72.519997,72.989998,43938000,2,0.599998,3808
14-10-2014,74,74.18,72.050003,73.589996,50299000,3,-0.379997,3810.449951
15-10-2014,71.690002,73.800003,70.32,73.209999,61528000,4,-0.580002,3785.969971
16-10-2014,70.790001,73.349998,70.580002,72.629997,53529000,5,3.32,3765.280029
17-10-2014,74.230003,76,73.75,75.949997,76342000,6,1,3815.469971
20-10-2014,75.599998,77.089996,75.379997,76.949997,34701000,2,1.740005,3870.080078
21-10-2014,77.559998,78.739998,77.150002,78.690002,32252000,3,-0.319999,3971.389893
22-10-2014,78.82,79.849998,78.010002,78.370003,41862000,4,1.669998,3949.590088
23-10-2014,79.379997,80.629997,79.010002,80.040001,35056000,5,0.629997,4012.27002
24-10-2014,80.199997,80.82,79.32,80.669998,32248000,6,-0.389999,4042.02002
27-10-2014,80.739998,80.800003,79.760002,80.279999,30169000,2,0.489998,4046.02002
28-10-2014,80.18,81.160004,79.57,80.769997,74212000,3,-4.909996,4106.629883
29-10-2014,75.449997,76.879997,74.779999,75.860001,106120000,4,-1.75,4090.550049
30-10-2014,75.050003,75.349998,72.900002,74.110001,83270000,5,0.879997,4100.640137
31-10-2014,74.93,75.699997,74.449997,74.989998,44544000,6,-1.110001,4158.209961
03-11-2014,75.470001,75.519997,73.699997,73.879997,40727000,2,1.880005,4169.279785
04-11-2014,74.230003,75.769997,73.650002,75.760002,39326000,3,-0.93,4156.22998
05-11-2014,76.510002,76.800003,74.419998,74.830002,35913000,4,0.43,4153.27002
06-11-2014,74.889999,75.599998,74.309998,75.260002,21383000,5,0.339996,4164.080078
07-11-2014,75.389999,75.860001,75.019997,75.599998,20774000,6,-0.599998,4160.5
10-11-2014,75.360001,75.480003,74.610001,75,21575100,2,-0.389999,4175.950195
11-11-2014,74.949997,74.980003,74.029999,74.610001,18715700,3,0.11,4187.160156
12-11-2014,74.279999,75.139999,73.540001,74.720001,26536600,4,-0.470001,4195.399902
13-11-2014,74.739998,75.239998,73.639999,74.25,26448500,5,0.629997,4213.47998
14-11-2014,74.269997,74.93,74.040001,74.879997,19476900,6,-0.639999,4224.990234
17-11-2014,74.879997,75.660004,73.879997,74.239998,28701200,2,0.099998,4213.790039
18-11-2014,74.449997,74.800003,73.900002,74.339996,20690500,3,-1.009994,4242.189941
19-11-2014,74.010002,74.540001,73.110001,73.330002,25441200,4,0.269996,4222.660156
20-11-2014,72.800003,73.989998,72.510002,73.599998,19154900,5,0.150002,4242.089844
21-11-2014,74.5,74.5,73.5,73.75,23060400,6,0.260002,4251.319824
24-11-2014,73.540001,74.349998,73.349998,74.010002,22103800,2,1.619995,4284.319824
25-11-2014,74.209999,75.739998,74.129997,75.629997,32250200,3,1.990006,4288.22998
26-11-2014,75.529999,77.779999,75.510002,77.620003,32695300,4,0.079994,4317.990234
28-11-2014,77.669998,78.269997,77.230003,77.699997,15992000,6,-2.599999,4337.790039
01-12-2014,77.260002,77.309998,74.800003,75.099998,31789900,2,0.360001,4287.810059
02-12-2014,75.330002,75.910004,75.040001,75.459999,16773900,3,-0.580002,4305.959961
03-12-2014,75.379997,75.730003,74.400002,74.879997,16689900,4,0.360001,4312.930176
04-12-2014,74.830002,75.550003,74.660004,75.239998,14362800,5,1.120003,4311.930176
05-12-2014,75.800003,76.760002,75.360001,76.360001,24306400,6,0.159996,4311.569824
08-12-2014,76.18,77.25,75.400002,76.519997,25733900,2,0.319999,4278.339844
09-12-2014,75.199997,76.93,74.779999,76.839996,25358600,3,-0.659996,4294.669922
10-12-2014,76.650002,77.550003,76.07,76.18,32210500,4,1.550003,4224.870117
11-12-2014,76.519997,78.519997,76.480003,77.730003,33462100,5,0.099999,4246.47998
12-12-2014,77.160004,78.879997,77.019997,77.830002,28091600,6,-0.840004,4199.279785
15-12-2014,78.459999,78.580002,76.559998,76.989998,29396500,2,-2.299996,4157.410156
16-12-2014,76.190002,77.389999,74.589996,74.690002,31554600,3,1.419999,4089.600098
17-12-2014,75.010002,76.410004,74.900002,76.110001,29203900,4,2.290001,4165.100098
18-12-2014,76.889999,78.400002,76.510002,78.400002,34222100,5,1.479995,4267.77002
19-12-2014,78.75,80,78.330002,79.879997,43335000,6,1.57,4281.779785
22-12-2014,80.080002,81.889999,80,81.449997,31395800,2,-0.839996,4293.669922
23-12-2014,82.019997,82.169998,80.400002,80.610001,19865800,3,0.159996,4279.299805
24-12-2014,81.029999,81.43,80.75,80.769997,7685500,4,0.010002,4283.100098
26-12-2014,81.019997,81.279999,80.510002,80.779999,10647400,6,-0.760002,4314.089844
29-12-2014,80.489998,80.959999,79.709999,80.019997,14134700,2,-0.799996,4312.640137
30-12-2014,79.849998,80.589996,79.099998,79.220001,14370800,3,-1.200004,4282.350098
31-12-2014,79.540001,79.800003,77.860001,78.019997,19935400,4,0.43,4236.279785
02-01-2015,78.580002,78.93,77.699997,78.449997,18177500,6,-1.259995,4230.240234
05-01-2015,77.980003,79.25,76.860001,77.190002,26452200,2,-1.04,4160.959961
06-01-2015,77.230003,77.589996,75.360001,76.150002,27399300,3,0,4110.830078
07-01-2015,76.760002,77.360001,75.82,76.150002,22045300,4,2.029998,4160
08-01-2015,76.739998,78.230003,76.080002,78.18,23961000,5,-0.440002,4240.549805
09-01-2015,78.199997,78.620003,77.199997,77.739998,21157000,6,-1.019997,4213.279785
12-01-2015,77.839996,78,76.209999,76.720001,19190200,2,-0.270004,4169.970215
13-01-2015,77.230003,78.080002,75.849998,76.449997,25179600,3,-0.169998,4166.200195
14-01-2015,76.419998,77.199997,76.029999,76.279999,25918600,4,-2.229996,4145.839844
15-01-2015,76.400002,76.57,73.540001,74.050003,34134000,5,1.129997,4089.649902
16-01-2015,74.040001,75.32,73.839996,75.18,21791500,6,1.059998,4142.140137
20-01-2015,75.720001,76.309998,74.82,76.239998,22821600,3,0.5,4171.209961
21-01-2015,76.160004,77.300003,75.849998,76.739998,25096700,4,0.910004,4192.089844
22-01-2015,77.169998,77.75,76.68,77.650002,19519500,5,0.18,4270.359863
23-01-2015,77.650002,78.190002,77.040001,77.830002,16746500,6,-0.330002,4278.140137
26-01-2015,77.980003,78.470001,77.290001,77.5,19260800,2,-1.720001,4275.720215
27-01-2015,76.709999,76.879997,75.629997,75.779999,20110000,3,0.459999,4165.5
28-01-2015,76.900002,77.639999,76,76.239998,53306400,4,1.760002,4140.379883
29-01-2015,76.849998,78.019997,74.209999,78,61293500,5,-2.089996,4181.350098
30-01-2015,78,78.160004,75.75,75.910004,42649500,6,-0.920006,4148.430176
02-02-2015,76.110001,76.139999,73.75,74.989998,41955300,2,0.410004,4188.589844
03-02-2015,75.190002,75.580002,73.860001,75.400002,26957700,3,0.229995,4229.149902
04-02-2015,75.089996,76.349998,75.010002,75.629997,20277400,4,-0.019996,4221.200195
05-02-2015,75.709999,75.980003,75.209999,75.610001,15062600,5,-1.14,4256.180176
06-02-2015,75.68,75.699997,74.25,74.470001,21211000,6,-0.029999,4228.680176
09-02-2015,74.050003,74.830002,73.449997,74.440002,16194300,2,0.75,4216.089844
10-02-2015,74.849998,75.339996,74.5,75.190002,15811300,3,1.32,4281.160156
11-02-2015,75.089996,76.75,75.029999,76.510002,20877400,4,-0.279999,4297.279785
12-02-2015,76.860001,76.870003,75.889999,76.230003,17235000,5,-0.490005,4347.970215
13-02-2015,76.459999,76.480003,75.5,75.739998,18621900,6,-0.14,4384.029785
17-02-2015,75.300003,76.910004,75.080002,75.599998,25254400,3,1.110001,4385.339844
18-02-2015,75.940002,76.900002,75.449997,76.709999,22426400,4,2.709999,4390.910156
19-02-2015,76.989998,79.839996,76.949997,79.419998,45851200,5,0.480004,4411.859863
20-02-2015,79.550003,80.339996,79.199997,79.900002,36931700,6,-1.060006,4443.049805
23-02-2015,79.959999,80.190002,78.379997,78.839996,24139100,2,-0.389999,4449.490234
24-02-2015,78.5,79.480003,78.099998,78.449997,18897100,3,1.110001,4451.029785
25-02-2015,78.5,80.199997,78.5,79.559998,25593800,4,0.850006,4440.589844
26-02-2015,79.879997,81.370003,79.720001,80.410004,31111900,5,-1.440003,4462.27002
27-02-2015,80.68,81.230003,78.620003,78.970001,30739200,6,0.779999,4440.669922
02-03-2015,79,79.860001,78.519997,79.75,21662500,2,-0.150002,4483.049805
03-03-2015,79.610001,79.699997,78.519997,79.599998,18635000,3,1.300004,4458.779785
04-03-2015,79.300003,81.150002,78.849998,80.900002,28126700,4,0.309997,4445.359863
05-03-2015,81.230003,81.989998,81.050003,81.209999,27825700,5,-1.199997,4452.060059
06-03-2015,80.900002,81.330002,79.830002,80.010002,24488600,6,-0.57,4399.22998
09-03-2015,79.68,79.910004,78.629997,79.440002,18925100,2,-1.889999,4412.990234
10-03-2015,78.5,79.260002,77.550003,77.550003,23067100,3,0.019997,4329.080078
11-03-2015,77.800003,78.43,77.260002,77.57,20215700,4,1.36,4305.379883
12-03-2015,78.099998,79.050003,77.910004,78.93,16093300,5,-0.879997,4336.22998
13-03-2015,78.599998,79.379997,77.68,78.050003,18557300,6,0.019997,4314.899902
16-03-2015,77.959999,78.120003,77.360001,78.07,19305400,2,1.290001,4370.470215
17-03-2015,78.360001,79.779999,78.339996,79.360001,22170000,3,1.550003,4375.629883
18-03-2015,79.25,81.239998,79.169998,80.910004,36912400,4,1.839996,4422.5
19-03-2015,81.120003,83,81,82.75,42099500,5,1.050003,4426.819824
20-03-2015,83.389999,84.599998,83.07,83.800003,44466300,6,0.629997,4458.540039
23-03-2015,83.919998,84.959999,83.300003,84.43,27357300,2,0.879998,4445.540039
24-03-2015,84.709999,86.07,84.519997,85.309998,32576500,3,-2.39,4430.990234
25-03-2015,85.5,85.519997,82.919998,82.919998,37436100,4,0.090004,4329.290039
26-03-2015,82.720001,83.769997,82.139999,83.010002,32794800,5,0.290001,4315.259766
27-03-2015,83.379997,83.949997,82.879997,83.300003,18372600,6,-0.100006,4332.859863
30-03-2015,83.809998,84.339996,82.410004,83.199997,24527700,2,-0.979996,4382.819824
31-03-2015,82.900002,83.5,82.209999,82.220001,19734300,3,-0.550003,4333.689941
01-04-2015,82.5,82.720001,80.870003,81.669998,22058200,4,-0.11,4311.259766
02-04-2015,82.25,82.559998,81.440002,81.559998,19664100,5,0.880004,4316.009766
06-04-2015,80.800003,82.809998,80.800003,82.440002,19062900,2,-0.120002,4350.97998
07-04-2015,82.650002,83.419998,82.220001,82.32,17467000,3,-0.040001,4344.080078
08-04-2015,82.629997,83.099998,81.839996,82.279999,18966700,4,-0.110001,4375.959961
09-04-2015,82.5,82.800003,81.709999,82.169998,15927300,5,-0.129997,4403.950195
10-04-2015,82.209999,82.610001,81.910004,82.040001,12529700,6,0.970001,4422.02002
13-04-2015,81.93,83.940002,81.919998,83.010002,26883100,2,0.509995,4409.209961
14-04-2015,83.169998,83.690002,82.440002,83.519997,19634200,3,-0.809998,4397.640137
15-04-2015,83.550003,83.660004,82.269997,82.709999,22390900,4,-0.400001,4424.529785
