Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
08-09-2014,17.226999,17.290501,16.952,17.117001,59106000,2,-0.201999,4095.469971
09-09-2014,17.0805,17.087999,16.459,16.487499,92936000,3,-0.629502,4061.879883
10-09-2014,16.715,16.749001,16.441,16.5665,75948000,4,0.079001,4094.969971
11-09-2014,16.497,16.650499,16.3195,16.525999,54404000,5,-0.040501,4092.649902
12-09-2014,16.478001,16.644501,16.439501,16.5595,68586000,6,0.033501,4069.22998
15-09-2014,16.5455,16.5665,15.95,16.1945,80008000,2,-0.365,4029.889893
16-09-2014,16.053499,16.474001,16.004999,16.388,65198000,3,0.1935,4067.27002
17-09-2014,16.388,16.4,16.076,16.200001,82720000,4,-0.187999,4073.570068
18-09-2014,16.271999,16.355,16.185499,16.25,51538000,5,0.049999,4103.080078
19-09-2014,16.379999,16.638,16.2785,16.566,137724000,6,0.316,4100.089844
22-09-2014,16.4245,16.474501,16.052999,16.225,62194000,2,-0.341,4061.22998
23-09-2014,16.122999,16.379999,16.0625,16.181499,47052000,3,-0.043501,4051.570068
24-09-2014,16.2085,16.472,15.978,16.4105,52844000,4,0.229001,4094.310059
25-09-2014,16.3995,16.427,16.07,16.0965,58576000,5,-0.314,4007.820068
26-09-2014,16.030001,16.174999,15.882,16.1605,72760000,6,0.064,4053.719971
29-09-2014,16.025,16.1875,15.95,16.091,38492000,2,-0.0695,4047.179932
30-09-2014,16.068001,16.171499,15.9255,16.122,52724000,3,0.031,4049.449951
01-10-2014,16.101999,16.1085,15.7775,15.873,61782000,4,-0.249,3984.73999
02-10-2014,15.846,15.9265,15.5655,15.9205,71078000,5,0.0475,3985.870117
03-10-2014,16.018,16.257999,15.9765,16.136999,60748000,6,0.216499,4027.310059
06-10-2014,16.174999,16.206499,15.98,16.110001,45806000,2,-0.026998,4016.27002
07-10-2014,15.9715,16.1,15.8335,15.849,47308000,3,-0.261001,3958.590088
08-10-2014,15.829,16.2055,15.707,16.135,69056000,4,0.286,4041.120117
09-10-2014,16.074499,16.113501,15.726,15.7685,71758000,5,-0.3665,3969.320068
10-10-2014,15.701,15.8885,15.569,15.5695,73638000,6,-0.199,3870.860107
13-10-2014,15.4935,15.66,15.1735,15.3225,87278000,2,-0.247,3808
14-10-2014,15.4,15.612,15.2875,15.4155,67716000,3,0.093,3810.449951
15-10-2014,15.2175,15.395,14.955,15.2985,106878000,4,-0.117,3785.969971
16-10-2014,14.6915,15.341,14.6915,15.143,94626000,5,-0.1555,3765.280029
17-10-2014,15.3575,15.46,15.136,15.182,88102000,6,0.039,3815.469971
20-10-2014,15.1475,15.3265,15.101,15.3105,64690000,2,0.1285,3870.080078
21-10-2014,15.495,15.782,15.3535,15.7665,71186000,3,0.456,3971.389893
